Science,When a cell divides  one of its main jobs is to make sure that each of the two new cells gets a full  perfect copy of genetic material. Mistakes during copying  or unequal division of the genetic material between cells  can lead to cells that are unhealthy or dysfunctional (and may lead to diseases such as cancer).
Science,In a cell  DNA does not usually exist by itself  but instead associates with specialized proteins that organize it and give it structure. In eukaryotes  these proteins include the histones  a group of basic (positively charged) proteins that form “bobbins” around which negatively charged DNA can wrap. In addition to organizing DNA and making it more compact  histones play an important role in determining which genes are active. The complex of DNA plus histones and other structural proteins is called chromatin.
Math,The coordinate plane is divided into four quadrants. Quadrant one (QI) is the top right fourth of the coordinate plane  where there are only positive coordinates. Quadrant two (QII) is the top left fourth of the coordinate plane. Quadrant three (QIII) is the bottom left fourth. Quadrant four (QIV) is the bottom right fourth.
Math,You are graphing quadrilateral ABCDABCDA  B  C  D in the coordinate plane. The length of segment ABABA  B is the same as the length of segment DCDCD  C  and both segments are horizontal. The following are three vertices of the quadrilateral: A(1 1)A(1 1)A  left parenthesis  1  comma  1  right parenthesis  C(4.5 4)C(4.5 4)C  left parenthesis  4  point  5  comma  4  right parenthesis  and D(-1.5 4)D(−1.5 4)D  left parenthesis  minus  1  point  5  comma  4  right parenthesis. All you know about point BBB is that it is in the first quadrant.
Social Studies,By roughly 6000 to 8000 years ago  agriculture was well under way in several regions including Ancient Egypt  around the Nile River; the Indus Valley civilization; Mesopotamia  between the Tigris and Euphrates rivers; and Ancient China  along the Yellow and Yangtze rivers. This is because the regular river floods made for fertile soil around the banks and the rivers could also supply fresh water to irrigate crops. It’s no coincidence that as agriculture allowed for denser and denser populations along with more specialized societies  some of the world’s first civilizations developed in these areas as well.
Social Studies,Associated with Mesopotamia are ancient cultures like the Sumerians  Assyrians  Akkadians  and Babylonians. Learning about this time period can be a little confusing because these cultures interacted with and ruled over each other over the course of several thousand years. These terms can also be associated with city-states  languages  religions  or empires—depending on the time and context we are looking at.
Science,Four identical sand castles are shown below. Which sand castle will most likely be eroded fastest by the wind?
Science,The diagram below shows a boulder rolling down a hill into a valley and then up the opposite hill. At which position does the boulder have the greatest kinetic energy?
Science,Base your answers on the graph below  which shows the solubility of three substances at various water temperatures. Which statement is a correct interpretation of the data in the graph? As water temperature increases  solubility decreases. As water temperature increases  solubility increases. As water temperature increases  solubility increases and then decreases. As water temperature increases  solubility decreases and then increases.
Science,Base your answers on the graph below  which shows the solubility (amount that will dissolve in 100 grams of water) of three substances at various water temperatures. As the water temperature is increased from 30°C to 70°C  how many more grams of substance A will dissolve in 100 grams of water? (A) 20 g (B) 40 g (C) 50 g (D) 90 g
Science,The diagram below shows a light ray. In this diagram  the light ray is being (A) transmitted (B) absorbed (C) reflected (D) refracted
Science,The picture below shows a ringing bell inside a vacuum jar. As air is pumped from the vacuum jar  the sound level of the ringing bell will decrease until it can no longer be heard. This happens because air must be present in the jar in order for (A) sound to be transferred (B) electricity to flow through the wires (C) the rubber to seal the jar (D) the bell clanger to vibrate
Science,The diagram below shows a pinwheel rotating above a lit candle. The arrows indicate the direction of air flow. {Regents_2004_8th_Grade_43} Which energy transformation is best shown in this diagram? (A) heat to mechanical (B) mechanical to light (C) sound to heat (D) heat to sound
Science,The diagram below shows four objects and their orbits around the Sun  as seen from space. {Regents_2004_8th_Grade_44} Which statement is true about all of the objects shown in the diagram? (A) They produce their own light. (B) They belong to our solar system. (C) They are composed mostly of gases. (D) They are the same distance from the Sun.
Science,Base your answers on the diagrams below and your knowledge of science. The diagrams show liquid water changing to water vapor in four different situations. Which observation would be evidence that the water is undergoing a phase change? (A) Waves form on the top of the pond. (B) Water soaks into the wet sand. (C) The water splashes out of the swimming pool. (D) The water level in the glass of water decreases.
Science,Base your answers on the diagrams below and your knowledge of science. The diagrams show liquid water changing to water vapor in four different situations. How is heat energy transferred within the liquid water in the pond? (A) compound formation (B) convection currents (C) chemical reactions (D) nuclear reactions
Science,The drawing below shows a person about to lift a book using a ruler and pencil.  This drawing illustrates an example of which simple machine? (A) gear (B) pulley (C) balance (D) lever
Science,The diagram below shows four Moon phases observed during July. On which date would the next New Moon occur? (A) August 5 (B) August 10 (C) August 19 (D) August 29
Science,Which title best describes the processes shown in the diagram below? (A) The Rock Cycle (B) The Water Cycle (C) Plate Tectonics (D) Chemical Changes
